ROLE	FILE	EXISTS	LINES	SIZE_BYTES	SHA256	PY_COMPILE	STABLE_FINGERPRINT
ACTIVE	s43.py	yes	29958	2620287	c5b0b5cf1e20dc253d91867d833cf5a02f53324b07f491f4acb891caad45b334	PASS	MATCH
STABLE_SOURCE	s43.py.bak_guard_phase1c_1780471331	yes	29958	2620287	c5b0b5cf1e20dc253d91867d833cf5a02f53324b07f491f4acb891caad45b334	PASS	MATCH
RESTORE_SOURCE	s43.py.baseline_restored_phase1c_dryrun_ok	yes	29958	2620287	c5b0b5cf1e20dc253d91867d833cf5a02f53324b07f491f4acb891caad45b334	PASS	MATCH
BROKEN_SOURCE	s43.py.syntax_broken_guard_injected_backup	yes	30010	2623568	41e4e9f824f5fc45e8e6149f4b13210d543edaad1f85e8e02ca3817646fb3d30	FAIL	N/A
STABLE_ALIAS	s43.py.STABLE_BASELINE_CONFIRMED	yes	29958	2620287	c5b0b5cf1e20dc253d91867d833cf5a02f53324b07f491f4acb891caad45b334	PASS	MATCH
RESTORE_ALIAS	s43.py.RESTORE_CONFIRMED	yes	29958	2620287	c5b0b5cf1e20dc253d91867d833cf5a02f53324b07f491f4acb891caad45b334	PASS	MATCH
BROKEN_ALIAS	s43.py.BROKEN_REFERENCE	yes	30010	2623568	41e4e9f824f5fc45e8e6149f4b13210d543edaad1f85e8e02ca3817646fb3d30	FAIL	N/A
