=== S43 FAST DEEP REFACTOR REPORT ===
timestamp: 20260603_010016
file: s43.py
total_lines: 29643
functions: 828
classes: 114

=== MODULE SPLIT SUGGESTIONS ===
s43.py:21671 _do_cancel complexity=28 length=54 group=core
s43.py:3738 list_orders complexity=28 length=53 group=core
s43.py:21182 _liquidate_positions complexity=27 length=67 group=ui
s43.py:11813 place_ladder complexity=27 length=47 group=core
s43.py:22909 _age_from_mixed_ts complexity=27 length=47 group=core
s43.py:10700 surgical_reset_symbol complexity=26 length=45 group=core
s43.py:16932 _refresh_market_focus_if_needed complexity=26 length=44 group=core
s43.py:17002 _add complexity=26 length=38 group=core
s43.py:11038 global_cash_total_irt complexity=26 length=32 group=core
s43.py:24256 _recorder_child_main complexity=25 length=80 group=core
s43.py:9489 _get_raw_signal complexity=25 length=70 group=core
s43.py:11248 _load_risk_journal complexity=25 length=47 group=core
s43.py:2342 _harden_request complexity=25 length=46 group=api
s43.py:3793 cancel_order complexity=25 length=45 group=core
s43.py:2177 _build_headers complexity=25 length=44 group=ui
s43.py:29069 _task_reset complexity=25 length=44 group=runtime
s43.py:1282 __init__ complexity=24 length=95 group=core
s43.py:2249 _handle_http_errors complexity=24 length=74 group=api
s43.py:27192 ai_status_panel complexity=24 length=47 group=core
s43.py:27618 surgical_repairs_panel complexity=24 length=38 group=core
s43.py:18387 _set_engine complexity=24 length=33 group=core
s43.py:11179 hard_blocks_all_orders complexity=24 length=30 group=core
s43.py:6004 assess complexity=23 length=64 group=core
s43.py:7762 execute_sovereign_strategy complexity=23 length=60 group=core
s43.py:29166 _dashboard_loop complexity=23 length=56 group=runtime
s43.py:23805 __init__ complexity=23 length=47 group=core
s43.py:3143 _extract_map complexity=23 length=44 group=parser
s43.py:1773 _get_session complexity=23 length=41 group=auth
s43.py:10997 update_wallet_balance_snapshot complexity=23 length=41 group=core
s43.py:12843 allow complexity=23 length=39 group=core
s43.py:18440 _pending_guard complexity=23 length=38 group=core
s43.py:21764 _market_regime_reeval complexity=23 length=37 group=core
s43.py:2089 _arzplus_log_403 complexity=22 length=50 group=core
s43.py:27239 policy_panel complexity=22 length=37 group=core
s43.py:2504 _extract_ticker_rows complexity=22 length=36 group=parser
s43.py:17115 _add complexity=22 length=32 group=core
s43.py:12631 update_ok complexity=21 length=43 group=core
s43.py:2051 _arzplus_detect_403_cause complexity=20 length=37 group=core
s43.py:7026 analyze complexity=20 length=36 group=core
s43.py:9696 _resolve_sym complexity=20 length=33 group=core
s43.py:10649 __init__ complexity=20 length=33 group=core
s43.py:12456 _flush_last_known_prices complexity=20 length=33 group=core
s43.py:11540 set_safe complexity=20 length=32 group=core
s43.py:9757 _dict_to_state complexity=20 length=30 group=core
s43.py:28736 _compute_focus_and_top8 complexity=20 length=29 group=core
s43.py:8356 update_volatility_metrics complexity=19 length=67 group=core
s43.py:7225 analyze_symbol complexity=19 length=42 group=core
s43.py:5776 fetch_depths complexity=19 length=41 group=core
s43.py:23165 _compute_levels complexity=19 length=40 group=core
s43.py:11587 _regime_multiplier complexity=19 length=36 group=core
s43.py:13547 _save_bot_state complexity=19 length=33 group=core
s43.py:11070 _safe_log_throttle complexity=19 length=32 group=core
s43.py:15677 _soft_exit_removed_symbols complexity=19 length=32 group=core
s43.py:5042 _load_price_cache complexity=19 length=30 group=core
s43.py:15252 get_arzplus_token complexity=18 length=71 group=auth
s43.py:23874 _janitor_loop complexity=18 length=36 group=runtime
s43.py:12330 entry_multiplier complexity=18 length=35 group=core
s43.py:494 __post_init__ complexity=18 length=34 group=core
s43.py:1814 reset_session complexity=18 length=33 group=auth
s43.py:21736 _derive_market_regime complexity=18 length=28 group=core
s43.py:25093 _equity_from_wallet complexity=18 length=25 group=ui

=== PERFORMANCE HOTSPOTS ===
s43.py:24611 _run complexity=2271 length=3931 group=runtime
